"","Bearbeiter/in","Bogennummer_alph","Bogennummer_num","Bogennummer_ind","Digi_Index","Ort","Ort_Zusatz","Kreis","Provinz","tray"
"678","JR","e'",23,"8","Schutte_00_0012","[Eic]hach",NA,"Öhringen","Württemberg","III_18"
"679","JR","m'",20,"9","Schutte_00_0013","Weil der Stadt","999","Leonberg","Württemberg","III_25"
"680","JR","999",999,"999","Schutte_00_0014","Rosenau","999","Kronstadt","999{Land: Rumänien}","999"
"681","JR","o''",52,"1","Schutte_00_0015","Windsischbleiberg","999","Klagenfurt","Kärnten","VI_12"
"682","JR","g''",64,"5","Schutte_00_0016","Güssing","999","Fürstenfeld","Steiermark","VI_23"
"683","JR","w'",64,"6","Schutte_00_0017","Matzendorf","999","Wr. Neustadt","<n.d.>","VI_19"
"684","JR","g''",48,"2","Schutte_00_0018","St. Georgen","999","Spittal","Gau Kärnten","VI_10"
"685","JR","w'",49,"1","Schutte_00_0019","Reindlmühl","999","Gmunden","Gau Oberdonau","VI_8"
"686","JR","g''",35,"2","Schutte_00_0020","Vinaders","bei Gries a. [Brenner]","Innsbruck","999","III_58"
"687","JR","w'",38,"3","Schutte_00_0021","Bruckmühl","999","Bad Aibling","Oberbayern","III_54"
"688","JR","b''",11,"4","Schutte_00_0022","Wolschweiler","999","Altkirch","Ober-Elsaß","III_17"
"689","JR","t'",60,"5","Schutte_00_0023","Obergrafendorf","999","St. Pölten","Ostmark","VI_18"
"690","JR","n'",63,"3","Schutte_00_0024","Oberstinkenbrunn","999","Hollabrunn","Gau Niederdonau","VI_15"
"691","JR","c'",36,"4","Schutte_00_0025","Neufahrn","999","Freising","Obb.","II_115"
"692","JR","m'",36,"4","Schutte_00_0026","Geisenfeld","999","Pfaffenhofen a. d. Ilm","999","III_46"
"693","JR","999",999,"999","Schutte_00_0027","Nieder-Rycerka","999","Saybusch","Oberschlesien","999"
"694","JR","999",999,"999","Schutte_00_0028","Zabrzeg","999","Bielitz","G/S.","999"
"695","JR","T'",74,"1","Schutte_00_0029","Sabschütz","999","Leobschütz","Schlesien","V_55"
"696","JR","L'",75,"6","Schutte_00_0030","Kiefernwalde","fr. Laskowitz","Rosenberg","[Schlesien]","V_34"
